Procedure,Avg Bribes,Real Cost,Total (avg + real),Min Bribes,Max Bribes,Median Bribes
Cadastre - 205,2628993,10000,2638993,5000,75000000,412500
Car Registration - 87,128511,22520000,22648511,3000,600000,75000
"Certification of Personal Documents (Marriage, Divorce...) - 298",19071,1000,20071,2000,150000,10000
Civil Register Authentication - 64,48750,1000,49750,5000,150000,20000
Cleaning of Judicial Record - 419,5250000,10000,5260000,5250000,5250000,5250000
Diploma Certification - 36,15000,1000,16000,10000,20000,15000
Driving Licence - 83,155339,268000,423339,20000,1000000,100000
Driving Licence Replacement - 174,150000,39000,189000,150000,150000,150000
Electricity Request - 4,223833,10000,233833,50000,600000,184000
Fines: Parking Ticket - 85,74500,150000,224500,3000,200000,47500
Hospital Admission - 71,273333,0,273333,20000,500000,300000
Housing Loan - 124,650000,0,650000,150000,1200000,600000
Housing Permit - 147,10160000,1000,10161000,30000,30000000,450000
Identity card - 95,1015000,5000,1020000,30000,2000000,1015000
Judicial Record - 96,20000,2000,22000,20000,20000,20000
License for Commercial Enterprise - 163,35000,1325000,1360000,20000,50000,35000
Mecanique - 84,129647,200000,329647,10000,1000000,60000
Passport - 97,50000,360000,410000,50000,50000,50000
Permit to issue an approval for foreigners' competency licence holders - 472,375000,95000,470000,375000,375000,375000
Redemption request a financial guarantee (certificate of deposit) - 312,1500000,2000,1502000,1500000,1500000,1500000
Registration of Lease - 178,200000,6000,206000,200000,200000,200000
renew the new passport  - 275,226667,6000,232667,5000,375000,300000
Results of Official Examinations - 203,675000,0,675000,675000,675000,675000
Social Security Family Procedures - 116,1760000,0,1760000,30000,4500000,750000
Social Security Paperwok - 115,3818333,5000,3823333,50000,15000000,145000
Subscription to Lebanese University - 39,155000,430000,585000,10000,300000,155000
Water Request - 44,107500,752000,859500,15000,200000,107500
